date,tweet_count,sentiment_a_mean,sentiment_a_std,sentiment_a_median,sentiment_a_min,sentiment_a_max,sentiment_b_mean,sentiment_b_std,sentiment_b_median,sentiment_b_min,sentiment_b_max,sentiment_c_mean,sentiment_c_std,sentiment_c_median,sentiment_c_min,sentiment_c_max,pct_positive_a,pct_neutral_a,pct_negative_a,pct_positive_b,pct_neutral_b,pct_negative_b,pct_positive_c,pct_neutral_c,pct_negative_c
2021-09-01,11789,0.1520914835863941,0.40272873838876605,0.0,-0.9971,0.988,0.16773340402069728,0.4102028989978517,0.0,-0.9971,0.988,0.19364494868097376,0.490116838498936,0.0,-1.0,1.0,45.45762999406226,36.32199508015947,18.22037492577827,47.90058529137332,33.94689965221817,18.152515056408518,48.18050725252354,33.40402069726016,18.4154720502163
2021-09-02,14339,0.15592843991910174,0.39377992916803256,0.0,-0.996,0.9914,0.17326402120092058,0.40238323315249896,0.0,-0.996,0.9928,0.2013416486505335,0.4839616770928316,0.0,-1.0,1.0,44.34060952646628,39.019457423809186,16.63993304972453,47.20691819513216,36.139200781086544,16.653881023781295,47.43008578004045,35.720761559383504,16.84915266057605
2021-09-03,13665,0.1485993633369923,0.39030102198098604,0.0,-0.9921,0.9849,0.16443822173435785,0.3985766807872949,0.0,-0.9921,0.9849,0.1922669557263081,0.4822857406578929,0.0,-1.0,1.0,43.527259421880714,39.71459934138309,16.758141236736186,45.90559824368825,37.577753384559095,16.516648371752655,46.125137211855105,37.02158799853641,16.853274789608488
2021-09-04,10975,0.15628537585421412,0.3974686471758152,0.0,-0.9712,0.9784,0.16818710706150342,0.4030863297026482,0.0,-0.9663,0.9958,0.195273867881549,0.48304437268563705,0.0,-1.0,1.0,44.993166287015946,37.69476082004556,17.312072892938495,46.66059225512528,35.97266514806378,17.366742596810933,47.0250569476082,35.37129840546697,17.603644646924828
2021-09-05,11500,0.14870158260869565,0.40125154047218103,0.0,-0.9815,0.9879,0.1635444695652174,0.40918764257182355,0.0,-0.9815,0.9888,0.18830640869565218,0.4937221473298906,0.0,-1.0,1.0,45.14782608695652,36.78260869565217,18.069565217391304,47.36521739130435,34.573913043478264,18.06086956521739,47.65217391304348,34.07826086956522,18.269565217391303
2021-09-06,13683,0.16760098662573997,0.38845498836848097,0.0,-0.9859,0.9808,0.18488303003727252,0.3964297121525516,0.0,-0.9859,0.9947,0.21356773002996418,0.474026330762109,0.0,-1.0,1.0,46.02060951545714,38.30300372725279,15.676386757290068,48.549294745304394,36.00087700065775,15.449828254037856,48.863553314331654,35.48929328363663,15.64715340203172
2021-09-07,25982,0.1337075860210915,0.3929110340996364,0.0,-0.9796,0.9959,0.13925847124932647,0.40260143188617087,0.0,-0.9796,0.9959,0.1631596970979909,0.48641376678420295,0.0,-1.0,1.0,45.15818643676391,35.678546686167344,19.16326687706874,46.809329535832504,32.91509506581479,20.275575398352704,47.13263028250327,32.380109306442925,20.487260411053807
2021-09-08,18711,0.12614035594035594,0.4081740891387066,0.0,-0.967,0.9992,0.12903275078830634,0.4173134082791658,0.0,-0.967,0.9992,0.15176036823259048,0.5032113850784896,0.0,-1.0,1.0,43.963443963443964,34.77099032654588,21.265565710010154,44.86665597776709,33.1729998396665,21.960344182566406,45.18732296510074,32.60648816204372,22.206188872855538
2021-09-09,14970,0.14281042752171008,0.3994412126036718,0.0,-0.9705,0.9965,0.15124553106212424,0.40659890023148487,0.0,-0.9704,0.9987,0.17869550434201736,0.4894355199254585,0.0,-1.0,1.0,43.473613894455575,37.70207080828323,18.824315297261187,45.010020040080164,35.81830327321309,19.171676686706746,45.27054108216433,35.33066132264529,19.39879759519038
2021-09-10,15060,0.1498987583001328,0.41915041893009436,0.0,-0.9919,0.9978,0.15484803452855245,0.4255086627000577,0.0,-0.9919,0.9978,0.1811656474103586,0.5113807156328334,0.0,-1.0,1.0,46.45418326693227,33.57901726427623,19.966799468791503,47.47011952191235,32.20451527224436,20.325365205843294,47.689243027888445,31.739707835325365,20.571049136786186
2021-09-11,11860,0.15124274030354132,0.40849017486785005,0.0,-0.9795,0.9954,0.15576241146711636,0.4155767665868844,0.0,-0.9795,0.9955,0.18470389966273185,0.4991212562183493,0.0,-1.0,1.0,46.3743676222597,35.084317032040474,18.541315345699832,47.5885328836425,33.59190556492411,18.819561551433388,47.782462057335586,33.11129848229342,19.106239460370993
2021-09-12,10320,0.17317234496124032,0.4087490593807542,0.0,-0.9552,0.9812,0.18151692829457364,0.4146528356809487,0.0772,-0.9557,0.9874,0.2130991812015504,0.49648126725282976,0.1272,-1.0,1.0,49.10852713178295,33.304263565891475,17.587209302325583,50.43604651162791,31.763565891472865,17.800387596899224,50.68798449612403,31.269379844961243,18.04263565891473
2021-09-13,13059,0.14870998545064706,0.40155451923995644,0.0,-0.9678,0.9913,0.15574586109196722,0.41083512640070374,0.0,-0.9678,0.9913,0.1806690366796845,0.49388363504702243,0.0,-1.0,1.0,45.730913546213344,35.67654491155525,18.592541542231412,47.13990351481737,33.23378512902978,19.626311356152844,47.34665747760165,32.8355923118156,19.81775021058274
2021-09-14,13337,0.1521658393941666,0.40052944094488213,0.0,-0.9843,0.9897,0.16025281547574416,0.40825031242393384,0.0,-0.9839,0.9897,0.18274601109694835,0.49343096158461036,0.0,-1.0,1.0,44.792682012446576,37.317237759616106,17.890080227937315,46.329759316188046,35.47274499512634,18.19749568868561,46.554697458198994,35.06785633950663,18.37744620229437
2021-09-15,13987,0.1525552155573032,0.40897227065460123,0.0,-0.9822,0.9851,0.16229553871452063,0.4164696620826832,0.0,-0.9822,0.9939,0.1938900586258669,0.5034090124287797,0.0,-1.0,1.0,45.735325659541004,35.81182526631873,18.452849074140275,47.3582612425824,33.88861085293487,18.75312790448273,47.801529992135556,33.273754200328874,18.92471580753557
2021-09-16,13957,0.15220533065845096,0.404462481112101,0.0,-0.9753,0.9998,0.16194036684101168,0.4094221435851702,0.0,-0.9753,0.9998,0.19284767858422297,0.4929191637121637,0.0,-1.0,1.0,45.23894819803683,35.931790499390985,18.829261302572185,46.82238303360321,34.42000429891811,18.757612667478686,47.130472164505264,33.875474672207496,18.99405316328724
