date,tweet_count,sentiment_a_mean,sentiment_a_std,sentiment_a_median,sentiment_a_min,sentiment_a_max,sentiment_b_mean,sentiment_b_std,sentiment_b_median,sentiment_b_min,sentiment_b_max,sentiment_c_mean,sentiment_c_std,sentiment_c_median,sentiment_c_min,sentiment_c_max,pct_positive_a,pct_neutral_a,pct_negative_a,pct_positive_b,pct_neutral_b,pct_negative_b,pct_positive_c,pct_neutral_c,pct_negative_c,open,high,low,close,volume,price_change,price_change_pct,volume_change_pct,price_ma_7,price_volatility_7,price_momentum
2021-09-01,11789,0.1520914835863941,0.402728738388766,0.0,-0.9971,0.988,0.1677334040206972,0.4102028989978517,0.0,-0.9971,0.988,0.1936449486809737,0.490116838498936,0.0,-1.0,1.0,45.45762999406226,36.32199508015947,18.22037492577827,47.90058529137332,33.94689965221817,18.15251505640852,48.18050725252354,33.40402069726016,18.4154720502163,47099.7734375,49111.08984375,46562.4375,48847.02734375,39139399125,,,,48847.02734375,,0.0
2021-09-02,14339,0.1559284399191017,0.3937799291680325,0.0,-0.996,0.9914,0.1732640212009205,0.4023832331524989,0.0,-0.996,0.9928,0.2013416486505335,0.4839616770928316,0.0,-1.0,1.0,44.34060952646628,39.019457423809186,16.63993304972453,47.20691819513216,36.139200781086544,16.653881023781295,47.43008578004045,35.720761559383504,16.84915266057605,48807.84765625,50343.421875,48652.3203125,49327.72265625,39508070319,480.6953125,0.9840830417728652,0.9419439292426723,49087.375,339.9029151533366,240.34765625
2021-09-03,13665,0.1485993633369923,0.390301021980986,0.0,-0.9921,0.9849,0.1644382217343578,0.3985766807872949,0.0,-0.9921,0.9849,0.1922669557263081,0.4822857406578929,0.0,-1.0,1.0,43.527259421880714,39.71459934138309,16.758141236736186,45.90559824368825,37.577753384559095,16.516648371752655,46.125137211855105,37.02158799853641,16.853274789608488,49288.25,50982.2734375,48386.0859375,50025.375,43206179619,697.65234375,1.4143210068944922,9.360389586584095,49400.041666666664,592.4933157413699,625.3333333333358
2021-09-04,10975,0.1562853758542141,0.3974686471758152,0.0,-0.9712,0.9784,0.1681871070615034,0.4030863297026482,0.0,-0.9663,0.9958,0.195273867881549,0.483044372685637,0.0,-1.0,1.0,44.993166287015946,37.69476082004556,17.312072892938495,46.66059225512528,35.97266514806378,17.366742596810933,47.0250569476082,35.37129840546697,17.603644646924828,50009.32421875,50545.58203125,49548.78125,49944.625,37471327794,-80.75,-0.1614180803242382,-13.273221274296809,49536.1875,555.1350927491252,408.4375
2021-09-05,11500,0.1487015826086956,0.401251540472181,0.0,-0.9815,0.9879,0.1635444695652174,0.4091876425718235,0.0,-0.9815,0.9888,0.1883064086956521,0.4937221473298906,0.0,-1.0,1.0,45.14782608695652,36.78260869565217,18.069565217391304,47.36521739130435,34.573913043478264,18.06086956521739,47.65217391304348,34.07826086956522,18.269565217391303,49937.859375,51868.6796875,49538.59765625,51753.41015625,30322676319,1808.78515625,3.6215812136941583,-19.07765722714705,49979.63203125,1101.9739061696716,1773.778124999997
2021-09-06,13683,0.1676009866257399,0.3884549883684809,0.0,-0.9859,0.9808,0.1848830300372725,0.3964297121525516,0.0,-0.9859,0.9947,0.2135677300299641,0.474026330762109,0.0,-1.0,1.0,46.02060951545714,38.30300372725279,15.676386757290068,48.549294745304394,36.00087700065775,15.449828254037856,48.863553314331654,35.48929328363663,15.64715340203172,51769.00390625,52700.94140625,51053.6796875,52633.53515625,38884105426,880.125,1.7006125728580734,28.234411161245234,50421.94921875,1464.6993404963816,2211.5859375
2021-09-07,25982,0.1337075860210915,0.3929110340996364,0.0,-0.9796,0.9959,0.1392584712493264,0.4026014318861708,0.0,-0.9796,0.9959,0.1631596970979909,0.4864137667842029,0.0,-1.0,1.0,45.15818643676391,35.678546686167344,19.16326687706874,46.809329535832504,32.91509506581479,20.275575398352704,47.13263028250327,32.380109306442925,20.487260411053807,52660.48046875,52853.765625,43285.20703125,46811.12890625,65210059683,-5822.40625,-11.06216071695616,67.7036387196838,49906.11774553572,1910.591939605208,-3094.9888392857174
2021-09-08,18711,0.1261403559403559,0.4081740891387066,0.0,-0.967,0.9992,0.1290327507883063,0.4173134082791658,0.0,-0.967,0.9992,0.1517603682325904,0.5032113850784896,0.0,-1.0,1.0,43.96344396344397,34.77099032654588,21.26556571001015,44.86665597776709,33.1729998396665,21.96034418256641,45.18732296510074,32.60648816204372,22.206188872855535,46827.76171875,47334.0546875,44561.39453125,46091.390625,49007762488,-719.73828125,-1.5375366885328479,-24.84631554358763,49512.455357142855,2389.1368507913835,-3421.064732142855
2021-09-09,14970,0.14281042752171,0.3994412126036718,0.0,-0.9705,0.9965,0.1512455310621242,0.4065989002314848,0.0,-0.9704,0.9987,0.1786955043420173,0.4894355199254585,0.0,-1.0,1.0,43.473613894455575,37.70207080828323,18.824315297261187,45.01002004008016,35.81830327321309,19.171676686706743,45.27054108216433,35.33066132264529,19.39879759519038,45774.7421875,47261.94921875,45669.73828125,46391.421875,38672657013,300.03125,0.6509485739778498,-21.088711155769758,49092.98381696428,2668.4227103164435,-2701.5619419642826
2021-09-10,15060,0.1498987583001328,0.4191504189300943,0.0,-0.9919,0.9978,0.1548480345285524,0.4255086627000577,0.0,-0.9919,0.9978,0.1811656474103586,0.5113807156328334,0.0,-1.0,1.0,46.45418326693227,33.57901726427623,19.966799468791503,47.47011952191235,32.20451527224436,20.325365205843298,47.689243027888445,31.739707835325365,20.571049136786183,46396.6640625,47031.7421875,44344.484375,44883.91015625,39154666597,-1507.51171875,-3.2495484247323514,1.2463834171982713,48358.48883928572,3049.4110421267137,-3474.5786830357174
